index,nickname,user_id,date
0,Bobisawesome07,634845429770485790,No Registrado
1,Carsom23,444582897253351424,2025-08-02
2,Cobra_Minera_TV,305845317880774656,2025-08-08
3,Dalinnar,444582897253351424,2025-08-09
4,Danc0405,444582897253351424,2025-08-13
5,Diegoaddj,444582897253351424,No Registrado
6,Duartyh,444582897253351424,2025-08-13
7,HoyoTWO,444582897253351424,2025-08-09
8,Jmacirez12,444582897253351424,2025-08-10
9,Juthons,444582897253351424,2025-08-14
10,KassiuLo,444582897253351424,2025-08-14
11,Kisde,444582897253351424,2025-08-02
12,LuisitoLapapa,444582897253351424,2025-08-14
13,LuukeEm,634845429770485790,2025-08-12
14,Mellamansaic,1092135712771539016,2025-08-14
15,MrVersus5,444582897253351424,2025-08-14
16,NajaHorse,444582897253351424,2025-08-14
17,Neythox,444582897253351424,No Registrado
18,NullExplorer,444582897253351424,2025-08-10
19,OmaOma03,444582897253351424,2025-08-03
20,Palli_NC,444582897253351424,2025-08-14
21,PapuPablo27,444582897253351424,2025-08-02
22,PedritoL,634845429770485790,2025-08-10
23,Pepi1339,444582897253351424,No Registrado
24,Reypag,444582897253351424,No Registrado
25,RubikYT,444582897253351424,No Registrado
26,SheronMan,444582897253351424,2025-08-14
27,SlimeStone,634845429770485790,2025-08-10
28,Soksoa,444582897253351424,2025-08-08
29,Soulmake68,634845429770485790,2025-08-04
30,TheHunter_007,444582897253351424,2025-08-08
31,ThePresident_07,444582897253351424,2025-08-14
32,XMasi,444582897253351424,No Registrado
33,YOGENES,444582897253351424,2025-08-14
34,YereFC,444582897253351424,2025-08-08
35,_Ciga,444582897253351424,2025-08-14
36,_MatiiH_,444582897253351424,2025-08-14
37,_miguelmg_,305845317880774656,2025-08-14
38,alejo7777,634845429770485790,2025-08-14
39,alexito_gamer,634845429770485790,2025-08-13
40,chirimoyalol,444582897253351424,2025-08-14
41,elbuitre1977,444582897253351424,No Registrado
42,eltriplesh,444582897253351424,2025-08-13
43,jokkr1,444582897253351424,2025-08-14
44,jugatomo_,444582897253351424,2025-08-13
45,kys_us,444582897253351424,No Registrado
46,lageeado,444582897253351424,2025-08-10
47,mati_89,444582897253351424,2025-08-13
48,paulinoyt870,444582897253351424,2025-08-13
49,poncher,444582897253351424,2025-08-06
50,roiklag,444582897253351424,No Registrado
51,uxed20,444582897253351424,2025-08-12
